City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
77,muros,ES,2020-01-09 01:29:55,42.77,-9.06,57.99,100,90,8.05,fog,0.0,0.0
78,port hedland,AU,2020-01-09 01:29:55,-20.31,118.58,95.0,53,40,17.22,scattered clouds,0.0,0.0
79,mahebourg,MU,2020-01-09 01:29:55,-20.41,57.7,75.2,88,40,7.92,scattered clouds,0.0,0.0
80,puerto ayora,EC,2020-01-09 01:29:56,-0.74,-90.35,75.2,88,90,14.99,light rain,0.0,0.0
81,el tigre,VE,2020-01-09 01:29:56,8.89,-64.25,79.23,65,74,13.94,broken clouds,0.0,0.0
82,fiumicino,IT,2020-01-09 01:29:56,41.77,12.23,43.0,68,0,4.7,clear sky,0.0,0.0
83,lisala,CD,2020-01-09 01:29:56,2.15,21.52,77.04,49,93,2.62,overcast clouds,0.0,0.0
84,staroye drozhzhanoye,RU,2020-01-09 01:29:56,54.73,47.56,19.29,93,82,13.78,broken clouds,0.0,0.0
85,pevek,RU,2020-01-09 01:29:57,69.7,170.27,-13.65,84,10,6.38,clear sky,0.0,0.0
86,dangriga,BZ,2020-01-09 01:29:57,16.97,-88.23,71.6,100,75,5.82,broken clouds,0.0,0.0
87,belaya gora,RU,2020-01-09 01:29:57,68.54,146.19,-9.2,97,100,4.59,overcast clouds,0.0,0.0
88,najran,SA,2020-01-09 01:29:57,17.54,44.22,57.2,67,0,2.24,clear sky,0.0,0.0
89,makinsk,KZ,2020-01-09 01:29:57,52.63,70.42,2.34,96,100,8.16,overcast clouds,0.0,0.0
90,garowe,SO,2020-01-09 01:29:59,8.41,48.48,69.89,77,34,7.9,scattered clouds,0.0,0.0
91,salalah,OM,2020-01-09 01:29:59,17.01,54.1,75.2,64,75,3.36,broken clouds,0.0,0.0
92,mumford,GH,2020-01-09 01:29:59,5.26,-0.76,75.78,82,81,3.04,broken clouds,0.0,0.0
93,ancud,CL,2020-01-09 01:29:59,-41.87,-73.83,46.4,87,75,6.93,light intensity shower rain,0.0,0.0
94,mehamn,NO,2020-01-09 01:30:00,71.03,27.85,30.51,77,55,12.08,broken clouds,0.0,0.0
95,ahipara,NZ,2020-01-09 01:30:00,-35.17,173.16,62.64,67,85,13.24,overcast clouds,0.0,0.0
96,antofagasta,CL,2020-01-09 01:30:00,-23.65,-70.4,68.0,82,75,13.87,broken clouds,0.0,0.0
97,butaritari,KI,2020-01-09 01:30:00,3.07,172.79,84.69,78,100,17.38,overcast clouds,0.0,0.0
98,cruzeiro,BR,2020-01-09 01:28:46,-22.58,-44.96,69.01,94,100,3.58,light rain,2.06,0.0
99,namtsy,RU,2020-01-09 01:30:01,62.72,129.66,-5.8,76,40,4.16,light snow,0.0,0.0
100,mar del plata,AR,2020-01-09 01:30:01,-46.43,-67.52,53.65,40,61,23.11,broken clouds,0.0,0.0
101,cherskiy,RU,2020-01-09 01:30:02,68.75,161.3,-24.02,79,64,2.66,broken clouds,0.0,0.0
102,castro,CL,2020-01-09 01:30:02,-42.48,-73.76,46.4,87,75,6.93,light intensity shower rain,0.0,0.0
103,pangnirtung,CA,2020-01-09 01:30:03,66.15,-65.72,-28.05,87,100,4.21,overcast clouds,0.0,0.0
104,zakamensk,RU,2020-01-09 01:30:03,50.38,103.29,-0.29,79,99,2.04,overcast clouds,0.0,0.0
105,avarua,CK,2020-01-09 01:28:34,-21.21,-159.78,84.2,74,99,17.22,overcast clouds,0.0,0.0
106,tiksi,RU,2020-01-09 01:30:04,71.64,128.87,-9.44,88,100,6.51,overcast clouds,0.0,0.0
107,broken hill,AU,2020-01-09 01:30:04,-31.96,141.45,96.8,11,0,12.75,clear sky,0.0,0.0
108,huilong,CN,2020-01-09 01:30:04,31.15,106.5,46.27,76,100,0.72,overcast clouds,0.0,0.0
109,caravelas,BR,2020-01-09 01:30:05,-17.73,-39.27,70.5,95,100,6.76,overcast clouds,0.0,0.0
110,alice springs,AU,2020-01-09 01:30:05,-23.7,133.88,98.6,23,100,19.46,overcast clouds,0.0,0.0
111,qena,EG,2020-01-09 01:30:05,26.16,32.72,44.6,70,0,2.24,clear sky,0.0,0.0
112,rikitea,PF,2020-01-09 01:30:05,-23.12,-134.97,76.66,80,5,23.78,light rain,1.06,0.0
113,lerwick,GB,2020-01-09 01:30:05,60.15,-1.15,45.72,65,77,20.0,light rain,0.5,0.0
114,kaitangata,NZ,2020-01-09 01:30:05,-46.28,169.85,61.0,46,100,17.0,overcast clouds,0.0,0.0
115,xuddur,SO,2020-01-09 01:25:06,4.12,43.89,71.11,82,42,13.42,scattered clouds,0.0,0.0
116,airai,TL,2020-01-09 01:30:06,-8.93,125.41,81.41,47,90,5.32,overcast clouds,0.0,0.0
117,tautira,PF,2020-01-09 01:30:06,-17.73,-149.15,86.0,66,75,4.7,broken clouds,0.0,0.0
118,wembley,CA,2020-01-09 01:30:06,55.15,-119.14,-11.2,76,20,11.41,few clouds,0.0,0.0
119,linhares,BR,2020-01-09 01:30:07,-19.38,-40.06,70.77,96,100,3.09,overcast clouds,0.0,0.0
120,canon city,US,2020-01-09 01:30:07,39.46,-117.13,28.4,74,1,4.7,clear sky,0.0,0.0
121,hebi,CN,2020-01-09 01:30:07,35.75,114.29,39.61,37,95,3.67,overcast clouds,0.0,0.0
122,port pirie,AU,2020-01-09 01:30:07,-33.18,138.01,98.6,16,2,9.17,clear sky,0.0,0.0
123,tuatapere,NZ,2020-01-09 01:30:08,-46.13,167.69,64.24,30,83,2.17,broken clouds,0.0,0.0
124,tobol,SE,2020-01-09 01:30:08,59.83,12.54,39.2,69,0,8.05,clear sky,0.0,0.0
125,wattegama,LK,2020-01-09 01:30:08,7.35,80.68,74.82,69,21,3.18,few clouds,0.0,0.0
126,nuuk,GL,2020-01-09 01:30:10,64.17,-51.74,6.01,84,100,24.0,light snow,0.0,0.31
127,santa maria,BR,2020-01-09 01:30:10,-16.02,-48.01,75.2,83,75,2.24,broken clouds,0.0,0.0
128,sandwick,GB,2020-01-09 01:30:10,54.57,-2.89,42.01,90,100,7.36,snow,0.0,4.25
129,iqaluit,CA,2020-01-09 01:30:10,63.75,-68.52,-13.0,69,75,2.24,broken clouds,0.0,0.0
130,nioro,GM,2020-01-09 01:30:10,13.79,-15.05,64.47,12,100,12.64,overcast clouds,0.0,0.0
131,puerto narino,CO,2020-01-09 01:30:11,-3.77,-70.38,77.0,100,75,3.36,broken clouds,0.0,0.0
132,qianan,CN,2020-01-09 01:30:11,44.99,124.06,8.1,89,3,3.83,clear sky,0.0,0.0
133,roma,IT,2020-01-09 01:27:39,41.89,12.48,46.0,69,0,3.36,clear sky,0.0,0.0
134,kenai,US,2020-01-09 01:30:11,60.55,-151.26,-2.0,76,1,5.82,clear sky,0.0,0.0
135,victoria,BN,2020-01-09 01:30:11,5.28,115.24,82.4,78,75,8.05,broken clouds,0.0,0.0
136,kununurra,AU,2020-01-09 01:30:12,-15.77,128.74,89.6,62,40,4.7,scattered clouds,0.0,0.0
137,tarko-sale,RU,2020-01-09 01:30:12,64.92,77.78,-4.38,98,92,12.19,overcast clouds,0.0,0.0
138,ullapool,GB,2020-01-09 01:28:58,57.9,-5.16,37.99,86,56,1.01,light snow,0.0,0.19
139,rundu,NA,2020-01-09 01:30:12,-17.91,19.77,68.0,82,16,2.24,few clouds,0.0,0.0
140,angostura,MX,2020-01-09 01:30:12,25.37,-108.16,64.0,83,53,1.21,broken clouds,0.0,0.0
141,maldonado,UY,2020-01-09 01:30:13,-34.91,-54.96,77.0,47,0,13.87,clear sky,0.0,0.0
142,obuasi,GH,2020-01-09 01:30:13,6.21,-1.69,72.19,76,58,0.69,broken clouds,0.0,0.0
143,kimbe,PG,2020-01-09 01:30:13,-5.56,150.15,85.71,77,100,3.65,moderate rain,4.63,0.0
144,khatanga,RU,2020-01-09 01:30:13,71.98,102.47,-4.58,96,100,9.55,light snow,0.0,0.13
145,dikson,RU,2020-01-09 01:30:13,73.51,80.55,-11.43,96,95,13.53,overcast clouds,0.0,0.0
